feature,mae
Retiro suma MWh,0.08217275925590632
Hora,0.0300639314548302
Mes,0.02887040472009179
Día,0.023779012521883296
Año,0.022941966125419037
Día de la semana,0.022550918135298192
Retiro suma MWh hace 1 semana promedio,0.022432556257540523
Ts_Valor,0.018942173178242483
Retiro suma MWh hace 24 horas,0.018289092236736287
BASELINE,0.01653135551386631
